"","Sales","CompPrice","Income","Advertising","Population","Price","ShelveLoc","Age","Education","Urban","US"
"85",2.23,111,25,0,52,121,"Bad",43,18,"No","No"
"86",8.47,125,103,0,304,112,"Medium",49,13,"No","No"
"87",8.7,150,84,9,432,134,"Medium",64,15,"Yes","No"
"88",11.7,131,67,7,272,126,"Good",54,16,"No","Yes"
"89",6.56,117,42,7,144,111,"Medium",62,10,"Yes","Yes"
"90",7.95,128,66,3,493,119,"Medium",45,16,"No","No"
"91",5.33,115,22,0,491,103,"Medium",64,11,"No","No"
"92",4.81,97,46,11,267,107,"Medium",80,15,"Yes","Yes"
"93",4.53,114,113,0,97,125,"Medium",29,12,"Yes","No"
"94",8.86,145,30,0,67,104,"Medium",55,17,"Yes","No"
"95",8.39,115,97,5,134,84,"Bad",55,11,"Yes","Yes"
"96",5.58,134,25,10,237,148,"Medium",59,13,"Yes","Yes"
"97",9.48,147,42,10,407,132,"Good",73,16,"No","Yes"
"98",7.45,161,82,5,287,129,"Bad",33,16,"Yes","Yes"
"99",12.49,122,77,24,382,127,"Good",36,16,"No","Yes"
"100",4.88,121,47,3,220,107,"Bad",56,16,"No","Yes"
"101",4.11,113,69,11,94,106,"Medium",76,12,"No","Yes"
"102",6.2,128,93,0,89,118,"Medium",34,18,"Yes","No"
"103",5.3,113,22,0,57,97,"Medium",65,16,"No","No"
"104",5.07,123,91,0,334,96,"Bad",78,17,"Yes","Yes"
"105",4.62,121,96,0,472,138,"Medium",51,12,"Yes","No"
"106",5.55,104,100,8,398,97,"Medium",61,11,"Yes","Yes"
"107",0.16,102,33,0,217,139,"Medium",70,18,"No","No"
"108",8.55,134,107,0,104,108,"Medium",60,12,"Yes","No"
"109",3.47,107,79,2,488,103,"Bad",65,16,"Yes","No"
"110",8.98,115,65,0,217,90,"Medium",60,17,"No","No"
"111",9,128,62,7,125,116,"Medium",43,14,"Yes","Yes"
"112",6.62,132,118,12,272,151,"Medium",43,14,"Yes","Yes"
"113",6.67,116,99,5,298,125,"Good",62,12,"Yes","Yes"
"114",6.01,131,29,11,335,127,"Bad",33,12,"Yes","Yes"
"115",9.31,122,87,9,17,106,"Medium",65,13,"Yes","Yes"
"116",8.54,139,35,0,95,129,"Medium",42,13,"Yes","No"
"117",5.08,135,75,0,202,128,"Medium",80,10,"No","No"
"118",8.8,145,53,0,507,119,"Medium",41,12,"Yes","No"
"119",7.57,112,88,2,243,99,"Medium",62,11,"Yes","Yes"
"120",7.37,130,94,8,137,128,"Medium",64,12,"Yes","Yes"
"121",6.87,128,105,11,249,131,"Medium",63,13,"Yes","Yes"
"122",11.67,125,89,10,380,87,"Bad",28,10,"Yes","Yes"
"123",6.88,119,100,5,45,108,"Medium",75,10,"Yes","Yes"
"124",8.19,127,103,0,125,155,"Good",29,15,"No","Yes"
"125",8.87,131,113,0,181,120,"Good",63,14,"Yes","No"
"126",9.34,89,78,0,181,49,"Medium",43,15,"No","No"
"127",11.27,153,68,2,60,133,"Good",59,16,"Yes","Yes"
"128",6.52,125,48,3,192,116,"Medium",51,14,"Yes","Yes"
"129",4.96,133,100,3,350,126,"Bad",55,13,"Yes","Yes"
"130",4.47,143,120,7,279,147,"Bad",40,10,"No","Yes"
"131",8.41,94,84,13,497,77,"Medium",51,12,"Yes","Yes"
"132",6.5,108,69,3,208,94,"Medium",77,16,"Yes","No"
"133",9.54,125,87,9,232,136,"Good",72,10,"Yes","Yes"
"134",7.62,132,98,2,265,97,"Bad",62,12,"Yes","Yes"
"135",3.67,132,31,0,327,131,"Medium",76,16,"Yes","No"
"136",6.44,96,94,14,384,120,"Medium",36,18,"No","Yes"
"137",5.17,131,75,0,10,120,"Bad",31,18,"No","No"
"138",6.52,128,42,0,436,118,"Medium",80,11,"Yes","No"
"139",10.27,125,103,12,371,109,"Medium",44,10,"Yes","Yes"
"140",12.3,146,62,10,310,94,"Medium",30,13,"No","Yes"
"141",6.03,133,60,10,277,129,"Medium",45,18,"Yes","Yes"
"142",6.53,140,42,0,331,131,"Bad",28,15,"Yes","No"
"143",7.44,124,84,0,300,104,"Medium",77,15,"Yes","No"
"144",0.53,122,88,7,36,159,"Bad",28,17,"Yes","Yes"
"145",9.09,132,68,0,264,123,"Good",34,11,"No","No"
"146",8.77,144,63,11,27,117,"Medium",47,17,"Yes","Yes"
"147",3.9,114,83,0,412,131,"Bad",39,14,"Yes","No"
"148",10.51,140,54,9,402,119,"Good",41,16,"No","Yes"
"149",7.56,110,119,0,384,97,"Medium",72,14,"No","Yes"
"150",11.48,121,120,13,140,87,"Medium",56,11,"Yes","Yes"
"151",10.49,122,84,8,176,114,"Good",57,10,"No","Yes"
"152",10.77,111,58,17,407,103,"Good",75,17,"No","Yes"
"153",7.64,128,78,0,341,128,"Good",45,13,"No","No"
"154",5.93,150,36,7,488,150,"Medium",25,17,"No","Yes"
"155",6.89,129,69,10,289,110,"Medium",50,16,"No","Yes"
"156",7.71,98,72,0,59,69,"Medium",65,16,"Yes","No"
"157",7.49,146,34,0,220,157,"Good",51,16,"Yes","No"
"158",10.21,121,58,8,249,90,"Medium",48,13,"No","Yes"
"159",12.53,142,90,1,189,112,"Good",39,10,"No","Yes"
"160",9.32,119,60,0,372,70,"Bad",30,18,"No","No"
"161",4.67,111,28,0,486,111,"Medium",29,12,"No","No"
"162",2.93,143,21,5,81,160,"Medium",67,12,"No","Yes"
"163",3.63,122,74,0,424,149,"Medium",51,13,"Yes","No"
"164",5.68,130,64,0,40,106,"Bad",39,17,"No","No"
"165",8.22,148,64,0,58,141,"Medium",27,13,"No","Yes"
"166",0.37,147,58,7,100,191,"Bad",27,15,"Yes","Yes"
"167",6.71,119,67,17,151,137,"Medium",55,11,"Yes","Yes"
"168",6.71,106,73,0,216,93,"Medium",60,13,"Yes","No"
"169",7.3,129,89,0,425,117,"Medium",45,10,"Yes","No"
"170",11.48,104,41,15,492,77,"Good",73,18,"Yes","Yes"
"171",8.01,128,39,12,356,118,"Medium",71,10,"Yes","Yes"
"172",12.49,93,106,12,416,55,"Medium",75,15,"Yes","Yes"
"173",9.03,104,102,13,123,110,"Good",35,16,"Yes","Yes"
"174",6.38,135,91,5,207,128,"Medium",66,18,"Yes","Yes"
"175",0,139,24,0,358,185,"Medium",79,15,"No","No"
"176",7.54,115,89,0,38,122,"Medium",25,12,"Yes","No"
"177",5.61,138,107,9,480,154,"Medium",47,11,"No","Yes"
"178",10.48,138,72,0,148,94,"Medium",27,17,"Yes","Yes"
"179",10.66,104,71,14,89,81,"Medium",25,14,"No","Yes"
"180",7.78,144,25,3,70,116,"Medium",77,18,"Yes","Yes"
"181",4.94,137,112,15,434,149,"Bad",66,13,"Yes","Yes"
"182",7.43,121,83,0,79,91,"Medium",68,11,"Yes","No"
"183",4.74,137,60,4,230,140,"Bad",25,13,"Yes","No"
"184",5.32,118,74,6,426,102,"Medium",80,18,"Yes","Yes"
"185",9.95,132,33,7,35,97,"Medium",60,11,"No","Yes"
"186",10.07,130,100,11,449,107,"Medium",64,10,"Yes","Yes"
"187",8.68,120,51,0,93,86,"Medium",46,17,"No","No"
"188",6.03,117,32,0,142,96,"Bad",62,17,"Yes","No"
"189",8.07,116,37,0,426,90,"Medium",76,15,"Yes","No"
"190",12.11,118,117,18,509,104,"Medium",26,15,"No","Yes"
"191",8.79,130,37,13,297,101,"Medium",37,13,"No","Yes"
"192",6.67,156,42,13,170,173,"Good",74,14,"Yes","Yes"
"193",7.56,108,26,0,408,93,"Medium",56,14,"No","No"
"194",13.28,139,70,7,71,96,"Good",61,10,"Yes","Yes"
"195",7.23,112,98,18,481,128,"Medium",45,11,"Yes","Yes"
"196",4.19,117,93,4,420,112,"Bad",66,11,"Yes","Yes"
"197",4.1,130,28,6,410,133,"Bad",72,16,"Yes","Yes"
"198",2.52,124,61,0,333,138,"Medium",76,16,"Yes","No"
"199",3.62,112,80,5,500,128,"Medium",69,10,"Yes","Yes"
"200",6.42,122,88,5,335,126,"Medium",64,14,"Yes","Yes"
"201",5.56,144,92,0,349,146,"Medium",62,12,"No","No"
"202",5.94,138,83,0,139,134,"Medium",54,18,"Yes","No"
"203",4.1,121,78,4,413,130,"Bad",46,10,"No","Yes"
"204",2.05,131,82,0,132,157,"Bad",25,14,"Yes","No"
"205",8.74,155,80,0,237,124,"Medium",37,14,"Yes","No"
"206",5.68,113,22,1,317,132,"Medium",28,12,"Yes","No"
"207",4.97,162,67,0,27,160,"Medium",77,17,"Yes","Yes"
"208",8.19,111,105,0,466,97,"Bad",61,10,"No","No"
"209",7.78,86,54,0,497,64,"Bad",33,12,"Yes","No"
"210",3.02,98,21,11,326,90,"Bad",76,11,"No","Yes"
"211",4.36,125,41,2,357,123,"Bad",47,14,"No","Yes"
"212",9.39,117,118,14,445,120,"Medium",32,15,"Yes","Yes"
"213",12.04,145,69,19,501,105,"Medium",45,11,"Yes","Yes"
"214",8.23,149,84,5,220,139,"Medium",33,10,"Yes","Yes"
"215",4.83,115,115,3,48,107,"Medium",73,18,"Yes","Yes"
"216",2.34,116,83,15,170,144,"Bad",71,11,"Yes","Yes"
"217",5.73,141,33,0,243,144,"Medium",34,17,"Yes","No"
"218",4.34,106,44,0,481,111,"Medium",70,14,"No","No"
"219",9.7,138,61,12,156,120,"Medium",25,14,"Yes","Yes"
"220",10.62,116,79,19,359,116,"Good",58,17,"Yes","Yes"
"221",10.59,131,120,15,262,124,"Medium",30,10,"Yes","Yes"
"222",6.43,124,44,0,125,107,"Medium",80,11,"Yes","No"
"223",7.49,136,119,6,178,145,"Medium",35,13,"Yes","Yes"
"224",3.45,110,45,9,276,125,"Medium",62,14,"Yes","Yes"
"225",4.1,134,82,0,464,141,"Medium",48,13,"No","No"
"226",6.68,107,25,0,412,82,"Bad",36,14,"Yes","No"
"227",7.8,119,33,0,245,122,"Good",56,14,"Yes","No"
"228",8.69,113,64,10,68,101,"Medium",57,16,"Yes","Yes"
"229",5.4,149,73,13,381,163,"Bad",26,11,"No","Yes"
"230",11.19,98,104,0,404,72,"Medium",27,18,"No","No"
"231",5.16,115,60,0,119,114,"Bad",38,14,"No","No"
"232",8.09,132,69,0,123,122,"Medium",27,11,"No","No"
"233",13.14,137,80,10,24,105,"Good",61,15,"Yes","Yes"
"234",8.65,123,76,18,218,120,"Medium",29,14,"No","Yes"
"235",9.43,115,62,11,289,129,"Good",56,16,"No","Yes"
"236",5.53,126,32,8,95,132,"Medium",50,17,"Yes","Yes"
"237",9.32,141,34,16,361,108,"Medium",69,10,"Yes","Yes"
"238",9.62,151,28,8,499,135,"Medium",48,10,"Yes","Yes"
"239",7.36,121,24,0,200,133,"Good",73,13,"Yes","No"
"240",3.89,123,105,0,149,118,"Bad",62,16,"Yes","Yes"
"241",10.31,159,80,0,362,121,"Medium",26,18,"Yes","No"
"242",12.01,136,63,0,160,94,"Medium",38,12,"Yes","No"
"243",4.68,124,46,0,199,135,"Medium",52,14,"No","No"
"244",7.82,124,25,13,87,110,"Medium",57,10,"Yes","Yes"
"245",8.78,130,30,0,391,100,"Medium",26,18,"Yes","No"
"246",10,114,43,0,199,88,"Good",57,10,"No","Yes"
"247",6.9,120,56,20,266,90,"Bad",78,18,"Yes","Yes"
"248",5.04,123,114,0,298,151,"Bad",34,16,"Yes","No"
"249",5.36,111,52,0,12,101,"Medium",61,11,"Yes","Yes"
"250",5.05,125,67,0,86,117,"Bad",65,11,"Yes","No"
"251",9.16,137,105,10,435,156,"Good",72,14,"Yes","Yes"
"252",3.72,139,111,5,310,132,"Bad",62,13,"Yes","Yes"
"253",8.31,133,97,0,70,117,"Medium",32,16,"Yes","No"
"254",5.64,124,24,5,288,122,"Medium",57,12,"No","Yes"
"255",9.58,108,104,23,353,129,"Good",37,17,"Yes","Yes"
"256",7.71,123,81,8,198,81,"Bad",80,15,"Yes","Yes"
"257",4.2,147,40,0,277,144,"Medium",73,10,"Yes","No"
"258",8.67,125,62,14,477,112,"Medium",80,13,"Yes","Yes"
"259",3.47,108,38,0,251,81,"Bad",72,14,"No","No"
"260",5.12,123,36,10,467,100,"Bad",74,11,"No","Yes"
"261",7.67,129,117,8,400,101,"Bad",36,10,"Yes","Yes"
"262",5.71,121,42,4,188,118,"Medium",54,15,"Yes","Yes"
"263",6.37,120,77,15,86,132,"Medium",48,18,"Yes","Yes"
"264",7.77,116,26,6,434,115,"Medium",25,17,"Yes","Yes"
"265",6.95,128,29,5,324,159,"Good",31,15,"Yes","Yes"
"266",5.31,130,35,10,402,129,"Bad",39,17,"Yes","Yes"
"267",9.1,128,93,12,343,112,"Good",73,17,"No","Yes"
"268",5.83,134,82,7,473,112,"Bad",51,12,"No","Yes"
"269",6.53,123,57,0,66,105,"Medium",39,11,"Yes","No"
"270",5.01,159,69,0,438,166,"Medium",46,17,"Yes","No"
"271",11.99,119,26,0,284,89,"Good",26,10,"Yes","No"
"272",4.55,111,56,0,504,110,"Medium",62,16,"Yes","No"
"273",12.98,113,33,0,14,63,"Good",38,12,"Yes","No"
"274",10.04,116,106,8,244,86,"Medium",58,12,"Yes","Yes"
"275",7.22,135,93,2,67,119,"Medium",34,11,"Yes","Yes"
"276",6.67,107,119,11,210,132,"Medium",53,11,"Yes","Yes"
"277",6.93,135,69,14,296,130,"Medium",73,15,"Yes","Yes"
"278",7.8,136,48,12,326,125,"Medium",36,16,"Yes","Yes"
"279",7.22,114,113,2,129,151,"Good",40,15,"No","Yes"
"280",3.42,141,57,13,376,158,"Medium",64,18,"Yes","Yes"
"281",2.86,121,86,10,496,145,"Bad",51,10,"Yes","Yes"
"282",11.19,122,69,7,303,105,"Good",45,16,"No","Yes"
"283",7.74,150,96,0,80,154,"Good",61,11,"Yes","No"
"284",5.36,135,110,0,112,117,"Medium",80,16,"No","No"
"285",6.97,106,46,11,414,96,"Bad",79,17,"No","No"
"286",7.6,146,26,11,261,131,"Medium",39,10,"Yes","Yes"
"287",7.53,117,118,11,429,113,"Medium",67,18,"No","Yes"
"288",6.88,95,44,4,208,72,"Bad",44,17,"Yes","Yes"
"289",6.98,116,40,0,74,97,"Medium",76,15,"No","No"
"290",8.75,143,77,25,448,156,"Medium",43,17,"Yes","Yes"
"291",9.49,107,111,14,400,103,"Medium",41,11,"No","Yes"
"292",6.64,118,70,0,106,89,"Bad",39,17,"Yes","No"
"293",11.82,113,66,16,322,74,"Good",76,15,"Yes","Yes"
"294",11.28,123,84,0,74,89,"Good",59,10,"Yes","No"
"295",12.66,148,76,3,126,99,"Good",60,11,"Yes","Yes"
"296",4.21,118,35,14,502,137,"Medium",79,10,"No","Yes"
"297",8.21,127,44,13,160,123,"Good",63,18,"Yes","Yes"
"298",3.07,118,83,13,276,104,"Bad",75,10,"Yes","Yes"
"299",10.98,148,63,0,312,130,"Good",63,15,"Yes","No"
"300",9.4,135,40,17,497,96,"Medium",54,17,"No","Yes"
"301",8.57,116,78,1,158,99,"Medium",45,11,"Yes","Yes"
"302",7.41,99,93,0,198,87,"Medium",57,16,"Yes","Yes"
"303",5.28,108,77,13,388,110,"Bad",74,14,"Yes","Yes"
"304",10.01,133,52,16,290,99,"Medium",43,11,"Yes","Yes"
"305",11.93,123,98,12,408,134,"Good",29,10,"Yes","Yes"
"306",8.03,115,29,26,394,132,"Medium",33,13,"Yes","Yes"
"307",4.78,131,32,1,85,133,"Medium",48,12,"Yes","Yes"
"308",5.9,138,92,0,13,120,"Bad",61,12,"Yes","No"
"309",9.24,126,80,19,436,126,"Medium",52,10,"Yes","Yes"
"310",11.18,131,111,13,33,80,"Bad",68,18,"Yes","Yes"
"311",9.53,175,65,29,419,166,"Medium",53,12,"Yes","Yes"
"312",6.15,146,68,12,328,132,"Bad",51,14,"Yes","Yes"
"313",6.8,137,117,5,337,135,"Bad",38,10,"Yes","Yes"
"314",9.33,103,81,3,491,54,"Medium",66,13,"Yes","No"
"315",7.72,133,33,10,333,129,"Good",71,14,"Yes","Yes"
"316",6.39,131,21,8,220,171,"Good",29,14,"Yes","Yes"
"317",15.63,122,36,5,369,72,"Good",35,10,"Yes","Yes"
"318",6.41,142,30,0,472,136,"Good",80,15,"No","No"
"319",10.08,116,72,10,456,130,"Good",41,14,"No","Yes"
"320",6.97,127,45,19,459,129,"Medium",57,11,"No","Yes"
"321",5.86,136,70,12,171,152,"Medium",44,18,"Yes","Yes"
"322",7.52,123,39,5,499,98,"Medium",34,15,"Yes","No"
"323",9.16,140,50,10,300,139,"Good",60,15,"Yes","Yes"
"324",10.36,107,105,18,428,103,"Medium",34,12,"Yes","Yes"
"325",2.66,136,65,4,133,150,"Bad",53,13,"Yes","Yes"
"326",11.7,144,69,11,131,104,"Medium",47,11,"Yes","Yes"
"327",4.69,133,30,0,152,122,"Medium",53,17,"Yes","No"
"328",6.23,112,38,17,316,104,"Medium",80,16,"Yes","Yes"
"329",3.15,117,66,1,65,111,"Bad",55,11,"Yes","Yes"
"330",11.27,100,54,9,433,89,"Good",45,12,"Yes","Yes"
"331",4.99,122,59,0,501,112,"Bad",32,14,"No","No"
"332",10.1,135,63,15,213,134,"Medium",32,10,"Yes","Yes"
"333",5.74,106,33,20,354,104,"Medium",61,12,"Yes","Yes"
"334",5.87,136,60,7,303,147,"Medium",41,10,"Yes","Yes"
"335",7.63,93,117,9,489,83,"Bad",42,13,"Yes","Yes"
"336",6.18,120,70,15,464,110,"Medium",72,15,"Yes","Yes"
"337",5.17,138,35,6,60,143,"Bad",28,18,"Yes","No"
"338",8.61,130,38,0,283,102,"Medium",80,15,"Yes","No"
"339",5.97,112,24,0,164,101,"Medium",45,11,"Yes","No"
"340",11.54,134,44,4,219,126,"Good",44,15,"Yes","Yes"
"341",7.5,140,29,0,105,91,"Bad",43,16,"Yes","No"
"342",7.38,98,120,0,268,93,"Medium",72,10,"No","No"
"343",7.81,137,102,13,422,118,"Medium",71,10,"No","Yes"
"344",5.99,117,42,10,371,121,"Bad",26,14,"Yes","Yes"
"345",8.43,138,80,0,108,126,"Good",70,13,"No","Yes"
"346",4.81,121,68,0,279,149,"Good",79,12,"Yes","No"
"347",8.97,132,107,0,144,125,"Medium",33,13,"No","No"
"348",6.88,96,39,0,161,112,"Good",27,14,"No","No"
"349",12.57,132,102,20,459,107,"Good",49,11,"Yes","Yes"
"350",9.32,134,27,18,467,96,"Medium",49,14,"No","Yes"
"351",8.64,111,101,17,266,91,"Medium",63,17,"No","Yes"
"352",10.44,124,115,16,458,105,"Medium",62,16,"No","Yes"
"353",13.44,133,103,14,288,122,"Good",61,17,"Yes","Yes"
"354",9.45,107,67,12,430,92,"Medium",35,12,"No","Yes"
"355",5.3,133,31,1,80,145,"Medium",42,18,"Yes","Yes"
"356",7.02,130,100,0,306,146,"Good",42,11,"Yes","No"
"357",3.58,142,109,0,111,164,"Good",72,12,"Yes","No"
"358",13.36,103,73,3,276,72,"Medium",34,15,"Yes","Yes"
"359",4.17,123,96,10,71,118,"Bad",69,11,"Yes","Yes"
"360",3.13,130,62,11,396,130,"Bad",66,14,"Yes","Yes"
"361",8.77,118,86,7,265,114,"Good",52,15,"No","Yes"
"362",8.68,131,25,10,183,104,"Medium",56,15,"No","Yes"
"363",5.25,131,55,0,26,110,"Bad",79,12,"Yes","Yes"
"364",10.26,111,75,1,377,108,"Good",25,12,"Yes","No"
"365",10.5,122,21,16,488,131,"Good",30,14,"Yes","Yes"
"366",6.53,154,30,0,122,162,"Medium",57,17,"No","No"
"367",5.98,124,56,11,447,134,"Medium",53,12,"No","Yes"
"368",14.37,95,106,0,256,53,"Good",52,17,"Yes","No"
"369",10.71,109,22,10,348,79,"Good",74,14,"No","Yes"
"370",10.26,135,100,22,463,122,"Medium",36,14,"Yes","Yes"
"371",7.68,126,41,22,403,119,"Bad",42,12,"Yes","Yes"
"372",9.08,152,81,0,191,126,"Medium",54,16,"Yes","No"
"373",7.8,121,50,0,508,98,"Medium",65,11,"No","No"
"374",5.58,137,71,0,402,116,"Medium",78,17,"Yes","No"
"375",9.44,131,47,7,90,118,"Medium",47,12,"Yes","Yes"
"376",7.9,132,46,4,206,124,"Medium",73,11,"Yes","No"
"377",16.27,141,60,19,319,92,"Good",44,11,"Yes","Yes"
"378",6.81,132,61,0,263,125,"Medium",41,12,"No","No"
"379",6.11,133,88,3,105,119,"Medium",79,12,"Yes","Yes"
"380",5.81,125,111,0,404,107,"Bad",54,15,"Yes","No"
"381",9.64,106,64,10,17,89,"Medium",68,17,"Yes","Yes"
"382",3.9,124,65,21,496,151,"Bad",77,13,"Yes","Yes"
"383",4.95,121,28,19,315,121,"Medium",66,14,"Yes","Yes"
"384",9.35,98,117,0,76,68,"Medium",63,10,"Yes","No"
"385",12.85,123,37,15,348,112,"Good",28,12,"Yes","Yes"
"386",5.87,131,73,13,455,132,"Medium",62,17,"Yes","Yes"
"387",5.32,152,116,0,170,160,"Medium",39,16,"Yes","No"
"388",8.67,142,73,14,238,115,"Medium",73,14,"No","Yes"
"389",8.14,135,89,11,245,78,"Bad",79,16,"Yes","Yes"
"390",8.44,128,42,8,328,107,"Medium",35,12,"Yes","Yes"
"391",5.47,108,75,9,61,111,"Medium",67,12,"Yes","Yes"
"392",6.1,153,63,0,49,124,"Bad",56,16,"Yes","No"
"393",4.53,129,42,13,315,130,"Bad",34,13,"Yes","Yes"
"394",5.57,109,51,10,26,120,"Medium",30,17,"No","Yes"
"395",5.35,130,58,19,366,139,"Bad",33,16,"Yes","Yes"
"396",12.57,138,108,17,203,128,"Good",33,14,"Yes","Yes"
"397",6.14,139,23,3,37,120,"Medium",55,11,"No","Yes"
"398",7.41,162,26,12,368,159,"Medium",40,18,"Yes","Yes"
"399",5.94,100,79,7,284,95,"Bad",50,12,"Yes","Yes"
"400",9.71,134,37,0,27,120,"Good",49,16,"Yes","Yes"
